"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"72","","Kerryon Johnson","DET","RB30","6","56","110","79.3","16.9","68.0","-4.0"
"73","","Jamaal Williams","GB","RB31","7","65","94","79.3","10.9","81.0","+8.0"
"74","","Devin Funchess","CAR","WR34","4","61","131","80.7","21.9","84.0","+10.0"
"75","","Deshaun Watson","HOU","QB5","10","42","75","61.0","10.2","40.0","-35.0"
"76","","Marquise Goodwin","SF","WR35","11","54","116","82.4","21.7","74.0","-2.0"
"77","","Evan Engram","NYG","TE6","9","58","103","82.7","15.2","63.0","-14.0"
"78","","Delanie Walker","TEN","TE7","8","54","106","82.9","17.3","78.0","0.0"
"79","","Pierre Garcon","SF","WR36","11","65","101","83.1","11.7","95.0","+16.0"
"80","","Isaiah Crowell","NYJ","RB32","11","68","102","84.6","12.3","89.0","+9.0"
"81","","Randall Cobb","GB","WR37","7","70","124","84.9","17.5","98.0","+17.0"
"82","","Kenny Stills","MIA","WR38","11","65","136","85.0","23.7","125.0","+43.0"
"83","","Kyle Rudolph","MIN","TE8","10","71","122","85.9","16.8","77.0","-6.0"
"84","","Marlon Mack","IND","RB33","9","57","154","86.6","30.5","87.0","+3.0"
"85","","Will Fuller","HOU","WR39","10","64","104","87.0","12.5","73.0","-12.0"
"86","","Carlos Hyde","CLE","RB34","11","63","121","88.9","17.6","75.0","-11.0"
"87","","Chris Thompson","WAS","RB35","4","60","130","91.4","24.7","88.0","+1.0"
"88","","Sterling Shepard","NYG","WR40","9","77","113","92.0","12.9","114.0","+26.0"
"89","","Drew Brees","NO","QB6","6","53","95","74.5","12.3","64.0","-25.0"
"90","","Kelvin Benjamin","BUF","WR41","11","77","122","93.7","14.3","112.0","+22.0"
"91","","Ronald Jones II","TB","RB36","5","54","136","94.0","28.9","61.0","-30.0"
"92","","Jamison Crowder","WAS","WR42","4","69","132","95.3","19.3","101.0","+9.0"
"93","","Carson Wentz","PHI","QB7","9","56","92","79.0","11.6","66.0","-27.0"
"94","","Tarik Cohen","CHI","RB37","5","67","133","97.4","22.7","83.0","-11.0"
"95","","Nelson Agholor","PHI","WR43","9","80","123","98.7","14.4","110.0","+15.0"
"96","","Matthew Stafford","DET","QB8","6","63","107","86.5","18.1","96.0","0.0"
"97","","Trey Burton","CHI","TE9","5","58","136","103.6","25.8","94.0","-3.0"
"98","","Kirk Cousins","MIN","QB9","10","71","108","89.0","12.3","80.0","-18.0"
"99","","Jordy Nelson","OAK","WR44","7","79","167","105.1","28.2","86.0","-13.0"
"100","","Julian Edelman","NE","WR45","11","66","191","106.3","37.7","79.0","-21.0"
"101","","Jordan Reed","WAS","TE10","4","81","131","106.7","16.1","90.0","-11.0"
"102","","Ben Roethlisberger","PIT","QB10","7","56","114","91.3","20.1","99.0","-3.0"
"103","","Devante Parker","MIA","WR46","11","86","146","109.6","21.4","111.0","+8.0"
"104","","Andrew Luck","IND","QB11","9","68","116","96.3","17.5","82.0","-22.0"
"105","","Allen Hurns","DAL","WR47","8","69","153","112.3","27.9","117.0","+12.0"
"106","","Rishard Matthews","TEN","WR48","8","85","147","112.6","22.6","162.0","+56.0"
"107","","D.J. Moore","CAR","WR49","4","85","143","112.7","17.9","120.0","+13.0"
"108","","Kenny Golladay","DET","WR50","6","91","159","116.1","23.1","141.0","+33.0"
"109","","Marqise Lee","JAC","WR51","9","84","218","118.9","43.0","136.0","+27.0"
"110","","Philip Rivers","LAC","QB12","8","83","130","104.3","14.1","104.0","-6.0"
"111","","Peyton Barber","TB","RB38","5","85","169","118.3","25.4","134.0","+23.0"
"112","","David Njoku","CLE","TE11","11","94","160","120.6","19.9","113.0","+1.0"
"113","","Josh Doctson","WAS","WR52","4","88","148","124.4","19.3","149.0","+36.0"
"114","","Duke Johnson","CLE","RB39","11","92","162","124.7","24.6","103.0","-11.0"
"115","","Jimmy Garoppolo","SF","QB13","11","89","136","112.3","14.5","92.0","-23.0"
"116","","C.J. Anderson","CAR","RB40","4","89","148","125.1","17.7","109.0","-7.0"
"117","","Chris Carson","SEA","RB41","7","86","149","112.8","23.4","100.0","-17.0"
"118","","Patrick Mahomes","KC","QB14","12","97","137","113.2","12.8","115.0","-3.0"
"119","","DeSean Jackson","TB","WR53","5","91","151","126.4","24.2","187.0","+68.0"
"120","","Bilal Powell","NYJ","RB42","11","78","178","126.6","34.9","154.0","+34.0"
"121","","Tyrell Williams","LAC","WR54","8","81","202","126.7","36.1","183.0","+62.0"
"122","","Devontae Booker","DEN","RB43","10","101","183","128.3","24.7","121.0","-1.0"
"123","","Tyler Lockett","SEA","WR55","7","100","154","129.4","20.2","158.0","+35.0"
"124","","Matt Ryan","ATL","QB15","8","109","144","120.5","11.2","102.0","-22.0"
"125","","Giovani Bernard","CIN","RB44","9","108","159","132.1","16.5","147.0","+22.0"
"126","","Dez Bryant","FA","WR56","","60","200","121.8","42.1","161.0","+35.0"
"127","","Alex Smith","WAS","QB16","4","107","157","122.2","16.6","131.0","+4.0"
"128","","Jack Doyle","IND","TE12","9","107","241","140.7","42.2","118.0","-10.0"
"129","","Marcus Mariota","TEN","QB17","8","100","153","124.2","19.9","127.0","-2.0"
"130","","John Brown","BAL","WR57","10","98","222","139.3","40.2","192.0","+62.0"
"131","","Jared Goff","LAR","QB18","12","106","145","126.8","13.6","108.0","-23.0"
"132","","Nick Chubb","CLE","RB45","11","83","186","138.6","28.8","106.0","-26.0"
"133","","Paul Richardson","WAS","WR58","4","99","186","138.9","28.0","189.0","+56.0"
"134","","George Kittle","SF","TE13","11","123","166","140.1","16.9","128.0","-6.0"
"135","","James White","NE","RB46","11","107","167","140.4","18.3","138.0","+3.0"
"136","","Ty Montgomery","GB","RB47","7","84","194","142.7","36.9","123.0","-13.0"
"137","","Jared Cook","OAK","TE14","7","89","177","144.0","29.0","188.0","+51.0"
"138","","Anthony Miller","CHI","WR59","5","116","149","136.8","10.4","164.0","+26.0"
"139","","Michael Gallup","DAL","WR60","8","123","170","147.7","14.5","145.0","+6.0"
"140","","Mohamed Sanu","ATL","WR61","8","110","215","150.1","37.4","170.0","+30.0"
"141","","Corey Clement","PHI","RB48","9","106","183","148.6","25.7","133.0","-8.0"
"142","","O.J. Howard","TB","TE15","5","118","189","148.7","24.6","152.0","+10.0"
"143","","Latavius Murray","MIN","RB49","10","111","204","149.1","33.7","139.0","-4.0"
"144","","Keelan Cole","JAC","WR62","9","118","231","153.1","35.4","198.0","+54.0"
